location,weather_state,temp,high,low,local_time,latlong,time_utc
Lagos,Heavy Rain,30.0,31.1,25.3,01:27,"6.439180,3.423480",2021-11-06 00:27:26
Dubai,Clear,29.8,29.9,25.2,04:27,"25.269440,55.308651",2021-11-06 00:27:32
Lagos,Heavy Rain,30.0,31.1,25.3,01:27,"6.439180,3.423480",2021-11-06 00:27:52
Singapore,Heavy Rain,29.0,29.5,25.8,08:27,"1.293780,103.853256",2021-11-06 00:27:53
Dubai,Clear,29.8,29.9,25.2,04:27,"25.269440,55.308651",2021-11-06 00:27:56
Singapore,Heavy Rain,29.5,30.4,26.0,02:58,"1.293780,103.853256",2021-11-06 18:58:57
London,Showers,12.2,13.1,7.0,18:59,"51.506321,-0.12714",2021-11-06 18:59:34
Wellington,Light Cloud,16.5,18.4,12.4,08:07,"-41.283779,174.787979",2021-11-06 19:07:02
Bangkok,Heavy Cloud,32.4,32.3,25.0,23:45,"13.753330,100.504822",2021-12-30 16:45:47
Paris,Heavy Cloud,14.1,14.8,11.1,17:46,"48.856930,2.341200",2021-12-30 16:46:29
Auckland,Heavy Cloud,22.0,23.2,16.4,05:47,"-36.884109,174.770416",2021-12-30 16:47:21
Berlin,Heavy Rain,9.4,11.9,3.6,17:48,"52.516071,13.376980",2021-12-30 16:48:56
Dubai,Heavy Cloud,24.5,25.2,19.8,20:50,"25.269440,55.308651",2021-12-30 16:50:14
Wellington,Heavy Cloud,19.0,20.8,14.6,05:51,"-41.283779,174.787979",2021-12-30 16:51:12
Zagreb,Light Rain,7.4,8.9,4.3,17:53,"45.807259,15.967600",2021-12-30 16:53:57
Dubai,Heavy Cloud,24.5,25.2,19.8,21:28,"25.269440,55.308651",2021-12-30 17:28:23
Berlin,Heavy Rain,9.4,11.9,3.6,18:33,"52.516071,13.376980",2021-12-30 17:33:35
Zagreb,Light Rain,7.8,9.1,4.3,18:33,"45.807259,15.967600",2021-12-30 17:33:47
London,Heavy Cloud,14.3,14.6,12.5,17:33,"51.506321,-0.12714",2021-12-30 17:33:53
Wellington,Heavy Cloud,19.0,20.8,14.6,06:33,"-41.283779,174.787979",2021-12-30 17:33:58
